Database Server,Speech Products Database,TCP,137,All
Database Server,Speech Products Database,TCP,139,All
Database Server,Speech Products Database,TCP,445,All
Database Server,Speech Products Database,UDP,137,All
Database Server,Speech Products Database,UDP,138,All
Framework Database & Reporting Server,Framework Data Warehouse,TCP,137,All
Framework Database & Reporting Server,Framework Data Warehouse,TCP,139,All
Framework Database & Reporting Server,Framework Data Warehouse,TCP,445,All
Framework Database & Reporting Server,Framework Data Warehouse,UDP,137,All
Framework Database & Reporting Server,Framework Data Warehouse,UDP,138,All
Framework Database & Reporting Server,Framework Database,TCP,137,All
Framework Database & Reporting Server,Framework Database,TCP,139,All
Framework Database & Reporting Server,Framework Database,TCP,445,All
Framework Database & Reporting Server,Framework Database,UDP,137,All
Framework Database & Reporting Server,Framework Database,UDP,138,All
Framework Database & Reporting Server,Interaction Data Warehouse,TCP,137,All
Framework Database & Reporting Server,Interaction Data Warehouse,TCP,139,All
Framework Database & Reporting Server,Interaction Data Warehouse,TCP,445,All
Framework Database & Reporting Server,Interaction Data Warehouse,UDP,137,All
Framework Database & Reporting Server,Interaction Data Warehouse,UDP,138,All
Framework DB Server,Framework Database,TCP,137,All
Framework DB Server,Framework Database,TCP,139,All
Framework DB Server,Framework Database,TCP,445,All
Framework DB Server,Framework Database,UDP,137,All
Framework DB Server,Framework Database,UDP,138,All
Recording & QM Database Server,Archive Database,TCP,137,All
Recording & QM Database Server,Archive Database,TCP,139,All
Recording & QM Database Server,Archive Database,TCP,445,All
Recording & QM Database Server,Archive Database,UDP,137,All
Recording & QM Database Server,Archive Database,UDP,138,All
Recording & QM Database Server,Contact Database,TCP,137,All
Recording & QM Database Server,Contact Database,TCP,139,All
Recording & QM Database Server,Contact Database,TCP,445,All
Recording & QM Database Server,Contact Database,UDP,137,All
Recording & QM Database Server,Contact Database,UDP,138,All
Recording & QM Database Server,Contact OLTP Database,TCP,137,All
Recording & QM Database Server,Contact OLTP Database,TCP,139,All
Recording & QM Database Server,Contact OLTP Database,TCP,445,All
Recording & QM Database Server,Contact OLTP Database,UDP,137,All
Recording & QM Database Server,Contact OLTP Database,UDP,138,All
Recording & QM Database Server,DPA Database,TCP,137,All
Recording & QM Database Server,DPA Database,TCP,139,All
Recording & QM Database Server,DPA Database,TCP,445,All
Recording & QM Database Server,DPA Database,UDP,137,All
Recording & QM Database Server,DPA Database,UDP,138,All
Recording & QM Database Server,QM Database,TCP,137,All
Recording & QM Database Server,QM Database,TCP,139,All
Recording & QM Database Server,QM Database,TCP,445,All
Recording & QM Database Server,QM Database,UDP,137,All
Recording & QM Database Server,QM Database,UDP,138,All
Recording & QM Database Server,Speech Analytics Database,TCP,137,All
